Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Chai Wan Maternal & Child Health Centre,"Level 2, Government Office, Block 6, New Jade Garden, 233 Chai Wan Road, Chai Wan.",22.26368831,114.23630954,ClinicsHealthCentresundertheDepartmentofHealth
North District Maternal and Child Health Centre,"7/F, North District Community Health Centre Building, No.3 Wai Wo Street, Sheung Shui",22.49837756,114.12761355,ClinicsHealthCentresundertheDepartmentofHealth
North District Elderly Health Centre,"8/F, North District Community Health Centre Building, No. 3 Wai Wo Street, Sheung Shui, N.T.",22.49833441,114.12759616,ClinicsHealthCentresundertheDepartmentofHealth
Ap Lei Chau Maternal & Child Health Centre,"2/F, Ap Lei Chau Clinic, 161 Ap Lei Chau Main Street, Ap Lei Chau.",22.24324308,114.15361202,ClinicsHealthCentresundertheDepartmentofHealth
Wu York Yu Maternal & Child Health Centre,"1/F, Wu York Yu Health Centre, 55 Sheung Fung Street, Wong Tai Sin.",22.34691495,114.19749389,ClinicsHealthCentresundertheDepartmentofHealth
Sai Ying Pun Maternal & Child Health Centre,"4/F, Sai Ying Pun Jockey Club Polyclinic, 134 Queen's Road West, Sai Ying Pun.",22.28643525,114.14503654,ClinicsHealthCentresundertheDepartmentofHealth
North Kwai Chung Maternal & Child Health Centre,"1/F, North Kwai Chung Clinic, 125 Tai Pak Tin Street, Kwai Chung.",22.36985878,114.14031825,ClinicsHealthCentresundertheDepartmentofHealth
Mui Wo Maternal & Child Health Centre,"1/F, Mui Wo Clinic, 2 Ngan Kwong Wan Road, Mui Wo, Lantau Island",22.26611127,113.99797404,ClinicsHealthCentresundertheDepartmentofHealth
East Kowloon Maternal & Child Health Centre,"1/F, East Kowloon Polyclinic, 160 Hammer Hill Road, Diamond Hill",22.33951725,114.20794763,ClinicsHealthCentresundertheDepartmentofHealth
Robert Black Maternal & Child Health Centre,"1/F, Robert Black Health Centre, 600 Prince Edward Road East, San Po Kong",22.33249336,114.19562805,ClinicsHealthCentresundertheDepartmentofHealth
Yaumatei Maternal & Child Health Centre,"1/F, 10 Yan Cheung Road, Yaumatei, Kowloon",22.30916042,114.16658582,ClinicsHealthCentresundertheDepartmentofHealth
Tsing Yi Maternal & Child Health Centre,"3/F, Cheung Hong Commercial Complex Phase I, Cheung Hong Estate, Tsing Yi",22.34891428,114.10593794,ClinicsHealthCentresundertheDepartmentofHealth
Anne Black Maternal & Child Health Centre,"2/F, Anne Black Health Centre, 140 Tsat Tsz Mui Road, North Point.",22.29136664,114.20499663,ClinicsHealthCentresundertheDepartmentofHealth
Cheung Chau Maternal & Child Health Centre,"G/F, Out-patient Department Block, St. John Hospital, Cheung Chau Hospital Road, Cheung Chau",22.2082217,114.03111861,ClinicsHealthCentresundertheDepartmentofHealth
Wang Tau Hom Maternal & Child Health Centre,"G/F, Wang Tau Hom Jockey Club Clinic, 200 Junction Road, Wang Tau Hom",22.33911364,114.18537799,ClinicsHealthCentresundertheDepartmentofHealth
South Kwai Chung Maternal & Child Health Centre,"1/F, South Kwai Chung Jockey Club Polyclinic, 310 Kwai Shing Circuit, Kwai Chung.",22.36080613,114.12539813,ClinicsHealthCentresundertheDepartmentofHealth
Kwai Chung Hospital Dental Clinic,"1/F, Kwai Chung Hospital Day Recovery Centre, 3 - 15 Kwai Chung Hospital Road, Kwai Chung, NT",22.3419526,114.13425831,ClinicsHealthCentresundertheDepartmentofHealth
