Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
West Kowloon Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33173503,114.160266,834557.0,821410.0
Lam Tin Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,KWUN TONG,22.31056736,114.2333304,842085.0,819067.0
Yan Oi Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,TUEN MUN,22.3912257,113.9791404,815906.0,828011.0
Tuen Mun Wu Hong Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,TUEN MUN,22.37715012,113.9671297,814667.0,826454.0
Madam Yung Fung Shee Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44101701,114.0270978,820850.0,833519.0
Argyle Street Jockey Club School Dental Clinic 1/F,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.32498085,114.1838824,836987.5,820660.3000000007
Tuen Mun School Dental Clinic,Clinics / Health Centres under the Department of Health,TUEN MUN,22.39969832,113.9735055,815326.9000000004,828964.5
Kennedy Town Community Complex Dental Clinic,Clinics / Health Centres under the Department of Health,KENNEDY TOWN,22.28181668,114.1290755,831344.0999999996,815871.0999999996
Tai Po Wong Siu Ching Dental Clinic,Clinics / Health Centres under the Department of Health,TAI PO,22.45016181,114.1680823,835357.2999999998,834520.3000000007
Aberdeen Methadone Clinic,Clinics / Health Centres under the Department of Health,SOUTHERN,22.24995324,114.156337,834151.0,812354.0
Tuen Mun Methadone Clinic,Clinics / Health Centres under the Department of Health,TUEN MUN,22.39965593,113.97571,815554.0,828945.0
Violet Peel Methadone Clinic,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27711148,114.1731785,835887.0999999996,815361.1999999993
Shau Kei Wan Methadone Clinic,Clinics / Health Centres under the Department of Health,EASTERN,22.27648746,114.2283391,841572.0,815293.0
Ngau Tau Kok Methadone Clinic,Clinics / Health Centres under the Department of Health,KWUN TONG,22.31706524,114.2169593,840398.0,819786.0
Tai Po Methadone Clinic,Clinics / Health Centres under the Department of Health,TAI PO,22.45401767,114.1657698,835125.0,834951.0
Hung Hom Methadone Clinic,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.3081387,114.1855993,837167.0,818797.0
Shek Wu Hui Methadone Clinic,Clinics / Health Centres under the Department of Health,NORTH,22.50530378,114.1292421,831367.0,840631.0
Robert Black Methadone Clinic,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33249336,114.1956281,838200.0,821494.0
Fanling Health Centre Dental Clinic,Clinics / Health Centres under the Department of Health,FANLING,22.49654684,114.1387885,832348.7000000002,839665.4000000004
Ha Kwai Chung School Dental Clinic,Clinics / Health Centres under the Department of Health,KWAI CHUNG,22.35242659,114.1280127,831239.5999999996,823711.4000000004
Argyle Street Jockey Club School Dental Clinic 3/F,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.32498085,114.1838824,836992.7000000002,820662.8000000007
Tsuen Wan Dental Clinic,Clinics / Health Centres under the Department of Health,TSUEN WAN,22.37055568,114.1155394,829949.2000000002,825707.5
Fanling School Dental Clinic,Clinics / Health Centres under the Department of Health,FANLING,22.49654684,114.1387885,832349.2000000002,839622.6999999993
